City,Cloudiness,Country_code,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
Kapaa,20,US,1554430696,57,22.08,-159.32,27.0,4.1
Butaritari,48,KI,1554431167,100,3.07,172.79,26.3,2.31
Mataura,80,NZ,1554430805,60,-46.19,168.86,11.11,1.34
Rikitea,20,PF,1554431168,100,-23.12,-134.97,24.95,7.46
Castro,20,CL,1554429600,100,-42.48,-73.76,7.0,1.5
Nikolskoye,0,RU,1554431032,55,59.7,30.79,2.0,2.26
Hermanus,68,ZA,1554430510,79,-34.42,19.24,12.78,2.68
Whitehorse,90,CA,1554431121,62,60.72,-135.06,-3.33,4.6
Iqaluit,75,CA,1554430923,77,63.75,-68.52,-17.0,11.3
Vaini,20,IN,1554426000,88,15.34,74.49,19.0,1.26
Atuona,68,PF,1554431030,98,-9.8,-139.03,28.3,6.71
Avera,90,US,1554431107,63,33.19,-82.53,19.0,4.6
Najran,0,SA,1554429600,43,17.54,44.22,23.0,5.1
Bredasdorp,88,ZA,1554429600,81,-34.53,20.04,11.0,3.1
Cabo San Lucas,75,MX,1554430835,73,22.89,-109.91,23.33,1.5
Saint George,40,GR,1554429000,87,39.45,22.34,8.0,1.06
Kabalo,44,CD,1554431170,88,-6.05,26.92,22.1,1.66
Mansa,0,IN,1554429600,39,23.43,72.66,28.0,3.1
Cap Malheureux,40,MU,1554431042,88,-19.98,57.61,24.44,2.1
Alofi,75,NU,1554429600,74,-19.06,-169.92,29.0,5.1
Punta Arenas,75,CL,1554430948,87,-53.16,-70.91,7.0,2.6
Tiksi,0,RU,1554431171,75,71.64,128.87,0.15,2.81
Georgetown,0,GY,1554429600,88,6.8,-58.16,24.0,2.1
Inirida,24,CO,1554431172,91,3.87,-67.92,25.35,0.86
Windhoek,0,NA,1554429600,76,-22.57,17.08,18.0,4.6
Isangel,90,VU,1554429600,70,-19.55,169.27,30.0,4.1
Ushuaia,75,AR,1554429600,80,-54.81,-68.31,4.0,4.6
Cape Town,20,ZA,1554431148,82,-33.93,18.42,15.0,4.6
Hobart,20,AU,1554431115,42,-42.88,147.33,21.67,8.7
Yumen,0,CN,1554431173,25,40.29,97.04,17.2,5.01
Mayo,40,CA,1554426000,23,63.59,-135.9,-2.0,5.1
Kodiak,90,US,1554431050,54,39.95,-94.76,12.0,2.1
Valentin Gomez Farias,40,MX,1554430816,12,24.05,-104.7,22.0,5.7
Verkhoyansk,8,RU,1554431174,76,67.55,133.39,-0.85,1.66
Gat,12,SN,1554429600,72,14.69,-16.54,19.0,9.3
Lebu,24,ET,1554431175,86,8.96,38.73,8.35,1.41
Albany,40,US,1554431142,29,42.65,-73.75,2.78,6.2
Barrow,8,AR,1554431175,81,-38.31,-60.23,13.05,5.11
Solnechnyy,80,RU,1554431176,75,50.72,136.64,1.2,3.31
Qaanaaq,48,GL,1554431176,80,77.48,-69.36,-17.3,2.56
Puerto Plata,20,DO,1554431127,83,19.79,-70.69,24.44,5.61
New Norfolk,20,AU,1554430996,42,-42.78,147.06,21.67,8.7
Bluff,24,AU,1554431176,44,-23.58,149.07,29.3,5.76
Thompson,90,CA,1554426000,73,55.74,-97.86,-6.0,2.6
Yellowknife,20,CA,1554430926,51,62.45,-114.38,-12.0,6.2
Torbay,5,CA,1554431009,74,47.66,-52.73,0.0,11.3
Tuktoyaktuk,75,CA,1554426000,77,69.44,-133.03,-17.0,3.1
