City,Cloudiness,Country_code,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
Lebu,92,ET,1554397531,66,8.96,38.73,15.51,1.72
Mar del Plata,0,AR,1554397531,42,-46.43,-67.52,17.96,8.97
Dikson,76,RU,1554397531,98,73.51,80.55,-6.44,4.52
Avarua,44,CK,1554395400,100,-21.21,-159.78,21.0,1.0
Carnarvon,64,ZA,1554397531,28,-30.97,22.13,18.26,5.67
Cape Town,20,ZA,1554397325,72,-33.93,18.42,18.33,5.1
Kruisfontein,88,ZA,1554397532,83,-34.0,24.73,18.51,10.52
Yellowknife,20,CA,1554397413,58,62.45,-114.38,-17.22,4.1
Hithadhoo,68,MV,1554397532,100,-0.6,73.08,29.11,1.22
Victoria,75,BN,1554395400,83,5.28,115.24,28.0,1.5
Saint Anthony,90,US,1554397224,70,43.97,-111.68,10.56,4.6
San Patricio,100,PY,1554397533,96,-26.98,-56.83,22.21,2.67
Rikitea,76,PF,1554397533,100,-23.12,-134.97,24.66,8.72
Bonthe,0,SL,1554397534,63,7.53,-12.5,30.21,3.12
Ocean City,75,US,1554397418,82,30.44,-86.61,22.0,3.1
Vaini,44,IN,1554397534,77,15.34,74.49,22.11,1.32
Flinders,90,AU,1554397505,100,-34.58,150.85,19.44,2.6
Constitucion,90,MX,1554397216,20,23.99,-104.67,20.0,1.0
Clyde River,20,CA,1554393600,60,70.47,-68.59,-13.0,1.0
Umm Lajj,0,SA,1554397535,78,25.02,37.27,22.41,3.87
Narsaq,40,GL,1554393000,42,60.91,-46.05,-2.0,3.6
Concordia,92,AR,1554397012,67,-31.4,-58.02,28.89,1.79
Hermanus,88,ZA,1554397325,89,-34.42,19.24,16.67,1.87
East London,0,ZA,1554393600,63,-33.02,27.91,19.0,9.8
Isangel,56,VU,1554397537,100,-19.55,169.27,26.51,5.87
Thompson,90,CA,1554393600,85,55.74,-97.86,-9.0,2.6
Lompoc,90,US,1554397249,87,34.64,-120.46,15.56,2.1
Barranca,0,PE,1554397537,92,-10.75,-77.76,21.01,3.72
Yarmouth,40,GB,1554397508,81,50.71,-1.5,8.33,8.7
Oktyabrskoye,0,RU,1554397517,62,56.73,85.44,0.0,2.0
Zhuhai,0,CN,1554393600,24,40.71,112.04,8.0,2.0
Mount Isa,0,AU,1554395400,44,-20.73,139.49,26.0,5.1
Mataura,92,NZ,1554397539,84,-46.19,168.86,6.41,2.17
Amarante,75,PT,1554397501,93,41.27,-8.08,10.0,8.2
Kavieng,76,PG,1554397540,100,-2.57,150.8,28.31,3.62
Coquimbo,0,CL,1554393600,68,-29.95,-71.34,19.0,5.7
Buala,32,SB,1554397540,94,-8.15,159.59,27.31,2.57
Punta Arenas,40,CL,1554396755,90,-53.16,-70.91,9.0,18.0
New Norfolk,20,AU,1554397514,70,-42.78,147.06,10.56,4.1
Mahibadhoo,0,MV,1554397541,100,3.78,72.97,29.01,1.97
Qujing,48,CN,1554397541,81,25.49,103.8,6.51,1.67
Ulaangom,92,MN,1554397264,76,49.98,92.07,-1.19,1.22
Kawalu,92,ID,1554397542,98,-7.38,108.21,20.06,0.97
Priyutnoye,44,RU,1554393600,81,46.1,43.51,5.56,3.13
Albany,1,US,1554397407,22,42.65,-73.75,8.89,9.8
Sao Joao da Barra,75,BR,1554393600,52,-21.64,-41.05,32.0,7.52
Ahipara,44,NZ,1554397543,100,-35.17,173.16,15.51,2.42
Butaritari,92,KI,1554397543,100,3.07,172.79,25.81,2.92
Belmonte,92,PT,1554397414,80,40.36,-7.35,8.33,2.68
Busselton,8,AU,1554397508,53,-33.64,115.35,10.0,7.27
Pisco,75,PE,1554393600,30,-13.71,-76.2,22.0,3.6
Jamestown,0,AU,1554397340,66,-33.21,138.6,15.81,3.62
Tuktoyaktuk,20,CA,1554393600,83,69.44,-133.03,-21.0,2.6
Kodiak,90,US,1554397426,57,39.95,-94.76,11.11,4.1
Sao Filipe,24,CV,1554397545,91,14.9,-24.5,21.91,8.72
Hokitika,88,NZ,1554397545,99,-42.72,170.96,13.46,6.92
Vartej,0,IN,1554397546,45,21.74,72.06,27.91,3.57
Manavgat,75,TR,1554394800,77,36.79,31.44,16.11,1.5
Provideniya,0,RU,1554397546,100,64.42,-173.23,-8.44,6.62
Ostrovnoy,88,RU,1554397546,96,68.05,39.51,-1.59,5.47
San Jeronimo,0,PE,1554393600,47,-13.65,-73.37,14.0,1.02
Port Augusta,0,AU,1554397235,29,-32.49,137.76,25.0,3.6
Bredasdorp,0,ZA,1554397309,64,-34.53,20.04,20.0,4.6
Kapaa,75,US,1554397283,68,22.08,-159.32,22.0,4.1
Miri,0,NG,1554397548,18,10.31,9.75,31.21,2.87
Ushuaia,75,AR,1554394920,80,-54.81,-68.31,4.0,7.7
Hilo,40,US,1554397466,82,19.71,-155.08,20.56,2.6
Paredon,12,BO,1554397549,78,-18.93,-65.16,15.91,1.17
Qaanaaq,64,GL,1554397549,88,77.48,-69.36,-14.59,6.52
Dashitou,20,CN,1554397549,41,43.3,128.5,1.01,6.27
Barrow,92,AR,1554397550,86,-38.31,-60.23,16.06,6.92
Chimbote,12,PE,1554397550,86,-9.08,-78.59,23.06,3.02
Talnakh,76,RU,1554397550,87,69.49,88.39,-6.84,1.77
Grindavik,75,IS,1554395400,93,63.84,-22.43,3.0,3.1
Sarkand,0,KZ,1554397551,86,45.41,79.91,7.56,0.72
Muroto,24,JP,1554397551,100,33.37,134.14,7.91,1.77
Port Alfred,36,ZA,1554397288,88,-33.59,26.89,18.89,4.47
Bandarbeyla,0,SO,1554397551,100,9.49,50.81,26.66,1.87
Brae,0,GB,1554394800,81,60.4,-1.35,8.0,11.3
Krasnyy Chikoy,88,RU,1554397552,41,50.36,108.75,-6.24,1.02
Tasiilaq,5,GL,1554393000,100,65.61,-37.64,-2.0,1.0
Diego de Almagro,80,CL,1554397552,72,-26.39,-70.05,21.16,1.62
Usakos,0,NA,1554397552,59,-22.0,15.59,20.36,1.22
Port Elizabeth,1,US,1554397551,22,39.31,-74.98,18.33,2.6
Trairi,88,BR,1554397553,100,-3.28,-39.27,26.41,2.77
Gujrat,20,PK,1554397200,61,32.57,74.07,25.0,2.1
Ilulissat,75,GL,1554393000,63,69.22,-51.1,-2.0,6.7
Port Lincoln,20,AU,1554397554,74,-34.72,135.86,20.36,8.97
Saint-Philippe,1,CA,1554397517,37,45.36,-73.48,2.78,5.7
Northam,20,GB,1554397524,81,51.04,-4.21,8.33,7.7
Ampanihy,0,MG,1554397555,42,-24.69,44.75,25.91,3.67
Bastia,75,IT,1554397545,66,44.6,8.98,11.67,2.6
Kahului,20,US,1554397432,64,20.89,-156.47,22.0,4.1
Castro,75,CL,1554393600,62,-42.48,-73.76,12.0,4.1
Ontario,90,US,1554397282,76,34.07,-117.65,17.78,1.32
Sarangani,8,PH,1554397557,100,5.4,125.46,27.31,5.42
Siuna,64,NI,1554397557,85,13.73,-84.78,25.41,1.87
Lavrentiya,0,RU,1554397557,86,65.58,-170.99,-9.29,8.37
Codrington,88,AU,1554397288,93,-28.95,153.24,17.0,0.5
Rome,75,IT,1554397444,87,41.89,12.48,15.0,8.2
Esperance,20,TT,1554397298,52,10.24,-61.45,31.67,7.2
Puerto Escondido,5,MX,1554392460,51,15.86,-97.07,29.0,3.6
Bluff,0,AU,1554397558,63,-23.58,149.07,20.06,4.57
Chupa,40,PE,1554393600,41,-15.11,-69.99,14.0,2.6
Georgetown,75,GY,1554393600,70,6.8,-58.16,31.0,7.2
Dombarovskiy,32,RU,1554397559,80,50.76,59.54,-1.34,1.52
Iqaluit,40,CA,1554396729,65,63.75,-68.52,-15.0,6.2
Marsabit,0,KE,1554397560,70,2.34,37.99,25.41,2.42
Hovd,0,NO,1554397517,49,63.83,10.7,8.0,5.1
Kaniama,44,CD,1554397326,78,-7.57,24.18,24.46,1.32
Cidreira,36,BR,1554397561,89,-30.17,-50.22,27.71,2.97
Ancud,75,CL,1554393600,62,-41.87,-73.83,12.0,4.1
Bethel,1,US,1554393360,67,60.79,-161.76,-6.0,8.7
Nanortalik,80,GL,1554397563,93,60.14,-45.24,-0.49,7.82
Dasoguz,0,TM,1554395400,51,41.84,59.97,15.0,4.1
Aklavik,90,CA,1554393600,77,68.22,-135.01,-14.0,1.5
Beloha,20,MG,1554397563,45,-25.17,45.06,27.56,5.82
Vlasotince,20,RS,1554395400,34,42.97,22.13,18.0,1.5
Santa Lucia,40,IT,1554397197,72,39.93,9.66,16.0,9.3
Amazar,68,RU,1554397564,82,53.86,120.88,-5.84,1.07
La Ronge,90,CA,1554393600,85,55.1,-105.3,-6.0,3.6
Pevek,8,RU,1554397565,64,69.7,170.27,-11.49,2.52
Sitka,0,US,1554397308,82,37.17,-99.65,12.22,4.47
Masumbwe,0,TZ,1554397566,84,-3.65,32.16,21.16,1.97
Pasighat,92,IN,1554397566,79,28.06,95.33,14.16,0.67
Eshowe,20,ZA,1554397566,67,-28.89,31.46,21.81,0.22
Airai,44,TL,1554397567,84,-8.93,125.41,18.96,0.47
Temple,40,US,1554397543,65,31.1,-97.34,26.67,7.2
Shingu,32,JP,1554397567,100,33.72,135.99,13.86,4.52
Gornyye Klyuchi,92,RU,1554397568,97,45.25,133.5,1.76,3.17
Pontal do Parana,40,BR,1554397421,74,-25.67,-48.51,30.0,2.1
Necochea,92,AR,1554396993,86,-38.55,-58.74,17.78,0.45
Cherskiy,0,RU,1554397568,47,68.75,161.3,-13.99,0.97
Paso de los Toros,75,UY,1554393600,62,-32.81,-56.52,30.0,7.2
Nuuk,75,GL,1554396728,47,64.17,-51.74,2.0,4.6
Dalhousie,0,IN,1554397569,64,32.54,75.98,9.96,0.97
Khatanga,76,RU,1554397569,85,71.98,102.47,-8.44,5.37
Vardo,1,US,1554397560,17,39.62,-77.74,18.89,3.6
Guerrero Negro,8,MX,1554397570,67,27.97,-114.04,18.56,3.57
High Level,90,CA,1554395580,78,58.52,-117.13,-12.0,4.1
Vanimo,48,PG,1554397570,97,-2.67,141.3,28.76,3.97
Kieta,88,PG,1554397571,100,-6.22,155.63,26.06,1.42
Broome,40,GB,1554397565,70,52.47,1.45,11.11,10.3
Hobart,20,AU,1554397394,70,-42.88,147.33,10.56,4.1
Santa Isabel do Rio Negro,20,BR,1554397572,59,-0.41,-65.02,33.26,1.52
Saskylakh,0,RU,1554397572,77,71.97,114.09,-8.89,3.67
Norman Wells,20,CA,1554393600,76,65.28,-126.83,-20.0,1.5
Berea,1,US,1554397561,45,41.37,-81.85,11.11,3.6
Rundu,48,NA,1554397573,39,-17.91,19.77,27.91,1.57
Nawa,0,IN,1554397573,24,27.02,75.0,27.01,4.92
Klaksvik,80,FO,1554396600,65,62.23,-6.59,7.0,7.2
Gat,0,SN,1554395400,50,14.69,-16.54,34.0,10.8
Aquiraz,75,BR,1554395888,74,-3.9,-38.39,28.0,3.1
Hukuntsi,36,BW,1554397574,50,-23.98,21.76,23.66,2.77
Venice,75,US,1554397569,54,27.1,-82.45,29.0,5.7
Akhmeta,90,GE,1554395400,81,42.03,45.21,10.0,0.5
Bocas del Toro,44,PA,1554397201,24,9.33,-82.25,19.44,4.02
Vao,0,EE,1554397575,78,59.1,26.19,3.91,2.52
Fairbanks,1,US,1554397450,47,64.84,-147.72,-8.33,4.1
Saint-Pierre,0,FR,1554397487,53,48.95,4.24,11.67,4.1
Itarema,92,BR,1554397576,100,-2.92,-39.92,23.71,2.67
Puerto Ayora,20,EC,1554396409,66,-0.74,-90.35,30.0,3.6
Souillac,20,FR,1554397539,46,45.6,-0.6,13.89,6.2
Bedesa,48,ET,1554397577,90,8.9,40.78,14.01,0.37
Ambon,75,FR,1554397531,66,47.55,-2.56,10.56,6.2
Quelimane,75,MZ,1554393600,94,-17.88,36.89,25.0,2.22
Fasa,20,IR,1554397200,63,28.94,53.65,18.0,2.1
San Quintin,76,PH,1554397578,84,17.54,120.52,22.06,1.52
Atuona,68,PF,1554397578,99,-9.8,-139.03,27.91,6.82
Aykhal,56,RU,1554397579,74,65.95,111.51,-9.14,1.67
Hasaki,20,JP,1554397475,75,35.73,140.83,8.0,0.5
Nikolskoye,0,RU,1554397533,32,59.7,30.79,11.0,4.0
Hualmay,12,PE,1554397579,73,-11.1,-77.61,23.76,2.12
Vyshkov,0,RU,1554395400,39,52.48,31.69,9.0,1.0
Tokur,0,RU,1554397580,66,53.13,132.9,-11.94,1.02
Kaitangata,92,NZ,1554397536,76,-46.28,169.85,7.22,3.58
Beira,90,ES,1554397556,93,43.2,-8.36,10.56,3.6
Totolapa,40,MX,1554392700,74,20.56,-97.48,26.0,2.07
Vila Franca do Campo,20,PT,1554397523,58,37.72,-25.43,15.0,8.2
Chifeng,0,CN,1554397402,31,42.27,118.96,2.26,4.32
Praia da Vitoria,75,PT,1554397308,67,38.73,-27.07,15.0,10.27
Puerto Colombia,20,CO,1554397215,52,10.99,-74.96,33.0,2.1
San Cristobal,40,EC,1554397251,82,-0.39,-78.55,16.0,4.6
Eftimie Murgu,0,RO,1554395400,31,44.88,22.1,16.0,9.8
Nishihara,0,JP,1554397425,57,35.74,139.53,13.33,3.6
Newtonmore,20,GB,1554397418,70,57.07,-4.12,8.33,4.6
Khani,75,GE,1554395400,100,41.96,42.96,8.0,2.1
Mitsamiouli,75,KM,1554393600,94,-11.38,43.28,26.0,6.2
Taksimo,68,RU,1554397584,64,56.36,114.84,-8.09,1.17
Kavaratti,0,IN,1554397584,100,10.57,72.64,28.76,1.02
Lorengau,32,PG,1554397584,99,-2.02,147.27,28.06,3.67
Ribeira Grande,40,PT,1554395400,51,38.52,-28.7,16.0,2.6
Saint George,40,GR,1554397402,66,39.45,22.34,14.0,4.1
Farafangana,56,MG,1554397585,100,-22.82,47.83,25.66,4.17
Leningradskiy,20,RU,1554397586,81,69.38,178.42,-15.64,3.87
Marzuq,44,YE,1554397586,56,14.4,46.47,19.41,1.32
Coro,24,VE,1554397586,77,11.41,-69.67,27.06,4.32
Mbini,32,GQ,1554397586,96,1.58,9.62,27.76,4.22
General Roca,0,AR,1554393600,34,-39.03,-67.58,19.0,6.2
Poronaysk,64,RU,1554397587,80,49.22,143.1,-2.14,4.37
Mindelo,75,PT,1554397262,93,41.31,-8.72,10.0,8.2
Pedra Branca,92,BR,1554397588,96,-5.46,-39.72,24.61,2.02
Los Llanos de Aridane,40,ES,1554397560,68,28.66,-17.92,19.0,9.8
Sao Felix do Xingu,88,BR,1554397588,79,-6.64,-51.99,28.26,1.22
